Complaint ID,Date,Zone,Service,Channel,Issue Category,Priority,Resolution Days,Satisfaction (1-5),Status,Within 7 Days,Month
CC-1029,2026-01-22 2:06:32,South,Road Repair,Service Center,Staff Behaviour,Urgent,14.6,1.6,Open,No,Jan-2026
CC-1030,2026-01-22 20:11:03,South,Streetlight,Mobile App,Staff Behaviour,Low,4.3,4.4,Resolved,Yes,Jan-2026
CC-1031,2026-01-23 14:15:34,South,Waste Collection,Walk-in,Incorrect Information,High,4.2,4.2,Resolved,Yes,Jan-2026
CC-1032,2026-01-24 8:20:05,East,Birth Certificate,Service Center,Incorrect Information,Urgent,3.4,4.3,Resolved,Yes,Jan-2026
CC-1033,2026-01-25 2:24:36,North,Streetlight,Service Center,Poor Service,Low,6.3,3.8,Resolved,Yes,Jan-2026
CC-1034,2026-01-25 20:29:07,West,Income Certificate,Helpline,Infrastructure,Low,1,4.5,Resolved,Yes,Jan-2026
CC-1035,2026-01-26 14:33:38,South,Property Tax,Walk-in,Delay,High,3,4.7,Resolved,Yes,Jan-2026
CC-1036,2026-01-27 8:38:10,Central,Waste Collection,Service Center,Staff Behaviour,Medium,2.6,4,Resolved,Yes,Jan-2026
CC-1037,2026-01-28 2:42:41,South,Streetlight,Website,Infrastructure,High,1.3,5,Resolved,Yes,Jan-2026
CC-1038,2026-01-28 20:47:12,Central,Birth Certificate,Website,Billing,Low,5.2,4.6,Resolved,Yes,Jan-2026
CC-1039,2026-01-29 14:51:43,East,Birth Certificate,Service Center,Staff Behaviour,High,2.2,4.4,Resolved,Yes,Jan-2026
CC-1040,2026-01-30 8:56:14,Central,Water Supply,Website,Staff Behaviour,Low,6.5,3.6,Resolved,Yes,Jan-2026
CC-1041,2026-01-31 3:00:45,West,Water Supply,Mobile App,Incorrect Information,Low,6.4,4.1,Resolved,Yes,Jan-2026
CC-1042,2026-01-31 21:05:16,North,Public Health,Website,Delay,Low,6.3,3.4,Resolved,Yes,Jan-2026
CC-1043,2026-02-01 15:09:47,Central,Income Certificate,Website,Delay,High,8.3,4.7,Escalated,No,Feb-2026
CC-1044,2026-02-02 9:14:19,Central,Road Repair,Helpline,Billing,Medium,9.9,3.5,Escalated,No,Feb-2026
CC-1045,2026-02-03 3:18:50,North,Streetlight,Service Center,Billing,Medium,1.6,5,Resolved,Yes,Feb-2026
CC-1046,2026-02-03 21:23:21,West,Streetlight,Walk-in,Staff Behaviour,Medium,4.1,4.8,Resolved,Yes,Feb-2026
CC-1047,2026-02-04 15:27:52,South,Road Repair,Mobile App,Poor Service,High,11.1,2.6,Escalated,No,Feb-2026
CC-1048,2026-02-05 9:32:23,Central,Public Health,Service Center,Incorrect Information,Medium,8.2,4.3,Escalated,No,Feb-2026
CC-1049,2026-02-06 3:36:54,North,Property Tax,Service Center,Incorrect Information,High,1,5,Resolved,Yes,Feb-2026
CC-1050,2026-02-06 21:41:25,East,Property Tax,Helpline,Staff Behaviour,Medium,5,4.8,Resolved,Yes,Feb-2026
CC-1051,2026-02-07 15:45:56,North,Public Health,Website,Infrastructure,Medium,3.1,4.5,Resolved,Yes,Feb-2026
CC-1052,2026-02-08 9:50:28,East,Property Tax,Service Center,Poor Service,Medium,5.5,5,Resolved,Yes,Feb-2026
CC-1053,2026-02-09 3:54:59,West,Water Supply,Helpline,Staff Behaviour,Medium,3.1,4.8,Resolved,Yes,Feb-2026
CC-1054,2026-02-09 21:59:30,South,Streetlight,Service Center,Poor Service,High,4.5,5,Resolved,Yes,Feb-2026
CC-1055,2026-02-10 16:04:01,North,Public Health,Website,Poor Service,Medium,9.3,3.1,Escalated,No,Feb-2026
CC-1056,2026-02-11 10:08:32,Central,Streetlight,Service Center,Poor Service,Low,5.3,4.3,Resolved,Yes,Feb-2026
CC-1057,2026-02-12 4:13:03,West,Road Repair,Website,Staff Behaviour,High,11.8,2.2,Escalated,No,Feb-2026
CC-1058,2026-02-12 22:17:34,North,Birth Certificate,Mobile App,Incorrect Information,Medium,4.4,4,Resolved,Yes,Feb-2026
CC-1059,2026-02-13 16:22:06,Central,Water Supply,Walk-in,Incorrect Information,Medium,8.8,3.8,Escalated,No,Feb-2026
CC-1060,2026-02-14 10:26:37,North,Waste Collection,Service Center,Poor Service,High,6.3,4.7,Resolved,Yes,Feb-2026
CC-1061,2026-02-15 4:31:08,East,Water Supply,Mobile App,Infrastructure,Medium,5,5,Resolved,Yes,Feb-2026
CC-1062,2026-02-15 22:35:39,North,Public Health,Service Center,Delay,Low,8.4,3.5,Escalated,No,Feb-2026
CC-1063,2026-02-16 16:40:10,North,Waste Collection,Walk-in,Staff Behaviour,Urgent,1,4.2,Resolved,Yes,Feb-2026
CC-1064,2026-02-17 10:44:41,North,Birth Certificate,Walk-in,Delay,Medium,2.9,5,Resolved,Yes,Feb-2026
CC-1065,2026-02-18 4:49:12,West,Public Health,Mobile App,Infrastructure,Medium,8.8,2.7,Escalated,No,Feb-2026
CC-1066,2026-02-18 22:53:43,North,Income Certificate,Website,Staff Behaviour,Low,4.3,4.7,Resolved,Yes,Feb-2026
CC-1067,2026-02-19 16:58:15,Central,Streetlight,Walk-in,Poor Service,High,6,3.7,Resolved,Yes,Feb-2026
CC-1068,2026-02-20 11:02:46,East,Birth Certificate,Helpline,Incorrect Information,Medium,2.5,4.8,Resolved,Yes,Feb-2026
CC-1069,2026-02-21 5:07:17,East,Streetlight,Helpline,Delay,Medium,7.5,4.4,Escalated,No,Feb-2026
CC-1070,2026-02-21 23:11:48,North,Property Tax,Service Center,Billing,High,2.8,4.6,Resolved,Yes,Feb-2026
CC-1071,2026-02-22 17:16:19,West,Income Certificate,Service Center,Billing,High,3,5,Resolved,Yes,Feb-2026
CC-1072,2026-02-23 11:20:50,West,Income Certificate,Walk-in,Infrastructure,Low,6,4.6,Resolved,Yes,Feb-2026
CC-1073,2026-02-24 5:25:21,Central,Birth Certificate,Walk-in,Poor Service,Medium,1,3.8,Resolved,Yes,Feb-2026
CC-1074,2026-02-24 23:29:52,North,Income Certificate,Website,Delay,Low,5.1,3.6,Resolved,Yes,Feb-2026
CC-1075,2026-02-25 17:34:24,East,Waste Collection,Mobile App,Poor Service,High,1.7,3.8,Resolved,Yes,Feb-2026
CC-1076,2026-02-26 11:38:55,West,Income Certificate,Mobile App,Delay,Low,6.8,5,Resolved,Yes,Feb-2026
CC-1077,2026-02-27 5:43:26,North,Streetlight,Website,Infrastructure,Medium,4.4,4.3,Resolved,Yes,Feb-2026
CC-1078,2026-02-27 23:47:57,West,Streetlight,Walk-in,Infrastructure,High,5.3,5,Resolved,Yes,Feb-2026
CC-1079,2026-02-28 17:52:28,West,Public Health,Walk-in,Billing,High,7.9,2.6,Escalated,No,Feb-2026
CC-1080,2026-03-01 11:56:59,East,Streetlight,Website,Poor Service,Medium,1,4.6,Resolved,Yes,Mar-2026
CC-1081,2026-03-02 6:01:30,South,Public Health,Website,Staff Behaviour,High,5.6,4.6,Resolved,Yes,Mar-2026
CC-1082,2026-03-03 0:06:02,Central,Streetlight,Service Center,Billing,Low,7.3,3.9,Escalated,No,Mar-2026
CC-1083,2026-03-03 18:10:33,Central,Waste Collection,Service Center,Poor Service,High,5.9,4.4,Resolved,Yes,Mar-2026
CC-1084,2026-03-04 12:15:04,East,Road Repair,Walk-in,Billing,Low,10.6,2.3,Escalated,No,Mar-2026
CC-1085,2026-03-05 6:19:35,West,Public Health,Helpline,Staff Behaviour,Medium,4,5,Resolved,Yes,Mar-2026
CC-1086,2026-03-06 0:24:06,North,Water Supply,Service Center,Incorrect Information,High,7.3,4.2,Escalated,No,Mar-2026
CC-1087,2026-03-06 18:28:37,West,Property Tax,Service Center,Incorrect Information,Low,4.6,4.5,Resolved,Yes,Mar-2026
CC-1088,2026-03-07 12:33:08,East,Birth Certificate,Website,Incorrect Information,Low,3.1,4.1,Resolved,Yes,Mar-2026
CC-1089,2026-03-08 6:37:39,Central,Streetlight,Service Center,Incorrect Information,High,7.7,3.9,Escalated,No,Mar-2026
CC-1090,2026-03-09 0:42:11,West,Income Certificate,Service Center,Delay,High,2.5,4.5,Resolved,Yes,Mar-2026
CC-1091,2026-03-09 18:46:42,Central,Road Repair,Helpline,Incorrect Information,Medium,8.9,2.3,Escalated,No,Mar-2026
CC-1092,2026-03-10 12:51:13,North,Streetlight,Website,Staff Behaviour,Medium,1,5,Resolved,Yes,Mar-2026
CC-1093,2026-03-11 6:55:44,Central,Income Certificate,Website,Infrastructure,Medium,6,3.9,Resolved,Yes,Mar-2026
CC-1094,2026-03-12 1:00:15,Central,Property Tax,Service Center,Infrastructure,Low,3.7,5,Resolved,Yes,Mar-2026
CC-1095,2026-03-12 19:04:46,South,Property Tax,Website,Delay,Medium,1,3.5,Resolved,Yes,Mar-2026
CC-1096,2026-03-13 13:09:17,South,Property Tax,Service Center,Incorrect Information,Low,1,5,Resolved,Yes,Mar-2026
CC-1097,2026-03-14 7:13:48,South,Income Certificate,Mobile App,Incorrect Information,High,2.1,4,Resolved,Yes,Mar-2026
CC-1098,2026-03-15 1:18:20,Central,Streetlight,Website,Incorrect Information,Medium,6.7,4.1,Resolved,Yes,Mar-2026
CC-1099,2026-03-15 19:22:51,East,Property Tax,Website,Billing,Medium,2.3,5,Resolved,Yes,Mar-2026
CC-1100,2026-03-16 13:27:22,Central,Waste Collection,Walk-in,Poor Service,Medium,2.2,4.7,Resolved,Yes,Mar-2026
CC-1101,2026-03-17 7:31:53,East,Public Health,Website,Billing,Urgent,4.8,4.6,Resolved,Yes,Mar-2026
CC-1102,2026-03-18 1:36:24,East,Income Certificate,Helpline,Poor Service,Low,1.7,4.1,Resolved,Yes,Mar-2026
CC-1103,2026-03-18 19:40:55,South,Income Certificate,Service Center,Incorrect Information,Medium,1,5,Resolved,Yes,Mar-2026
CC-1104,2026-03-19 13:45:26,West,Streetlight,Mobile App,Incorrect Information,Medium,2.3,4.3,Resolved,Yes,Mar-2026
CC-1105,2026-03-20 7:49:57,North,Income Certificate,Mobile App,Billing,Medium,1.6,3.9,Resolved,Yes,Mar-2026
CC-1106,2026-03-21 1:54:29,South,Income Certificate,Service Center,Billing,Low,5.5,3.9,Resolved,Yes,Mar-2026
CC-1107,2026-03-21 19:59:00,South,Property Tax,Walk-in,Poor Service,High,2.6,3.3,Resolved,Yes,Mar-2026
CC-1108,2026-03-22 14:03:31,West,Streetlight,Mobile App,Infrastructure,Urgent,3.2,4.6,Resolved,Yes,Mar-2026
CC-1109,2026-03-23 8:08:02,North,Property Tax,Walk-in,Poor Service,Medium,8.1,3.4,Escalated,No,Mar-2026
CC-1110,2026-03-24 2:12:33,Central,Public Health,Website,Billing,Medium,5.5,4.9,Resolved,Yes,Mar-2026
CC-1111,2026-03-24 20:17:04,Central,Road Repair,Website,Staff Behaviour,High,12.6,3.1,Open,No,Mar-2026
CC-1112,2026-03-25 14:21:35,South,Public Health,Helpline,Billing,High,10.6,2.2,Escalated,No,Mar-2026
CC-1113,2026-03-26 8:26:07,North,Road Repair,Helpline,Staff Behaviour,Low,6.5,3.4,Resolved,Yes,Mar-2026
CC-1114,2026-03-27 2:30:38,South,Property Tax,Helpline,Delay,Medium,3.2,4.9,Resolved,Yes,Mar-2026
CC-1115,2026-03-27 20:35:09,East,Public Health,Service Center,Billing,Medium,5.9,4.6,Resolved,Yes,Mar-2026
CC-1116,2026-03-28 14:39:40,South,Streetlight,Website,Delay,Medium,3.7,5,Resolved,Yes,Mar-2026
CC-1117,2026-03-29 8:44:11,South,Birth Certificate,Mobile App,Infrastructure,High,4.2,5,Resolved,Yes,Mar-2026
CC-1118,2026-03-30 2:48:42,Central,Property Tax,Service Center,Poor Service,Urgent,1.6,4.7,Resolved,Yes,Mar-2026
CC-1119,2026-03-30 20:53:13,Central,Road Repair,Website,Staff Behaviour,High,8.9,3.7,Escalated,No,Mar-2026
CC-1120,2026-03-31 14:57:44,Central,Waste Collection,Service Center,Poor Service,Medium,3.6,5,Resolved,Yes,Mar-2026
CC-1121,2026-04-01 9:02:16,East,Road Repair,Walk-in,Delay,Low,9.2,3.2,Escalated,No,Apr-2026
CC-1122,2026-04-02 3:06:47,Central,Waste Collection,Walk-in,Staff Behaviour,Urgent,1.4,5,Resolved,Yes,Apr-2026
CC-1123,2026-04-02 21:11:18,North,Income Certificate,Walk-in,Poor Service,High,5.8,3.8,Resolved,Yes,Apr-2026
CC-1124,2026-04-03 15:15:49,West,Public Health,Mobile App,Billing,Low,9.3,3,Escalated,No,Apr-2026
CC-1125,2026-04-04 9:20:20,North,Waste Collection,Service Center,Incorrect Information,High,4.8,4.3,Resolved,Yes,Apr-2026
CC-1126,2026-04-05 3:24:51,North,Road Repair,Walk-in,Delay,High,9.2,2.9,Escalated,No,Apr-2026
CC-1127,2026-04-05 21:29:22,Central,Income Certificate,Mobile App,Poor Service,Medium,2.4,4.6,Resolved,Yes,Apr-2026
CC-1128,2026-04-06 15:33:53,West,Birth Certificate,Walk-in,Delay,Medium,1.5,4.2,Resolved,Yes,Apr-2026
CC-1129,2026-04-07 9:38:25,West,Streetlight,Walk-in,Delay,Medium,10.2,3,Escalated,No,Apr-2026
CC-1130,2026-04-08 3:42:56,West,Streetlight,Walk-in,Staff Behaviour,Low,7.1,4.1,Escalated,No,Apr-2026
CC-1131,2026-04-08 21:47:27,East,Streetlight,Mobile App,Staff Behaviour,Medium,3.2,4.2,Resolved,Yes,Apr-2026
CC-1132,2026-04-09 15:51:58,Central,Waste Collection,Mobile App,Incorrect Information,High,4.4,4.3,Resolved,Yes,Apr-2026
CC-1133,2026-04-10 9:56:29,West,Birth Certificate,Walk-in,Billing,Low,2.2,4.9,Resolved,Yes,Apr-2026
CC-1134,2026-04-11 4:01:00,East,Waste Collection,Mobile App,Delay,Medium,5.3,4.4,Resolved,Yes,Apr-2026
CC-1135,2026-04-11 22:05:31,South,Public Health,Service Center,Poor Service,Medium,8.2,3.5,Escalated,No,Apr-2026
CC-1136,2026-04-12 16:10:03,South,Waste Collection,Helpline,Infrastructure,Medium,6.4,4.6,Resolved,Yes,Apr-2026
CC-1137,2026-04-13 10:14:34,East,Birth Certificate,Walk-in,Delay,High,1.1,3.6,Resolved,Yes,Apr-2026
CC-1138,2026-04-14 4:19:05,East,Birth Certificate,Website,Delay,Medium,3.2,5,Resolved,Yes,Apr-2026
CC-1139,2026-04-14 22:23:36,Central,Public Health,Helpline,Incorrect Information,Medium,3.2,4,Resolved,Yes,Apr-2026
CC-1140,2026-04-15 16:28:07,Central,Birth Certificate,Service Center,Billing,High,1,5,Resolved,Yes,Apr-2026
CC-1141,2026-04-16 10:32:38,South,Road Repair,Helpline,Infrastructure,Medium,11.9,2.2,Escalated,No,Apr-2026
CC-1142,2026-04-17 4:37:09,West,Birth Certificate,Walk-in,Staff Behaviour,Low,1,5,Resolved,Yes,Apr-2026
CC-1143,2026-04-17 22:41:40,South,Streetlight,Service Center,Staff Behaviour,Medium,3.2,4.7,Resolved,Yes,Apr-2026
CC-1144,2026-04-18 16:46:12,West,Road Repair,Helpline,Poor Service,Low,10,2.8,Escalated,No,Apr-2026
CC-1145,2026-04-19 10:50:43,West,Road Repair,Walk-in,Infrastructure,Low,11.5,3.6,Escalated,No,Apr-2026
CC-1146,2026-04-20 4:55:14,Central,Public Health,Website,Staff Behaviour,Medium,4.7,4.2,Resolved,Yes,Apr-2026
CC-1147,2026-04-20 22:59:45,North,Water Supply,Website,Poor Service,Medium,1,5,Resolved,Yes,Apr-2026
CC-1148,2026-04-21 17:04:16,North,Water Supply,Website,Billing,High,4.1,3.8,Resolved,Yes,Apr-2026
CC-1149,2026-04-22 11:08:47,East,Birth Certificate,Mobile App,Poor Service,Medium,5.7,4,Resolved,Yes,Apr-2026
CC-1150,2026-04-23 5:13:18,Central,Road Repair,Mobile App,Staff Behaviour,Medium,10.8,4.3,Escalated,No,Apr-2026
CC-1151,2026-04-23 23:17:49,West,Water Supply,Walk-in,Incorrect Information,Medium,8.9,4,Escalated,No,Apr-2026
CC-1152,2026-04-24 17:22:21,North,Water Supply,Walk-in,Incorrect Information,Low,3.5,4.7,Resolved,Yes,Apr-2026
CC-1153,2026-04-25 11:26:52,West,Birth Certificate,Walk-in,Incorrect Information,Medium,1,4.7,Resolved,Yes,Apr-2026
CC-1154,2026-04-26 5:31:23,North,Water Supply,Walk-in,Staff Behaviour,Low,7,3.8,Resolved,Yes,Apr-2026
CC-1155,2026-04-26 23:35:54,North,Waste Collection,Helpline,Incorrect Information,Urgent,4.5,4.3,Resolved,Yes,Apr-2026
CC-1156,2026-04-27 17:40:25,North,Income Certificate,Helpline,Infrastructure,Low,4.7,4.6,Resolved,Yes,Apr-2026
CC-1157,2026-04-28 11:44:56,Central,Public Health,Website,Billing,Medium,9.1,2.7,Escalated,No,Apr-2026
CC-1158,2026-04-29 5:49:27,South,Income Certificate,Website,Poor Service,Low,4.9,4.7,Resolved,Yes,Apr-2026
CC-1159,2026-04-29 23:53:58,West,Birth Certificate,Website,Poor Service,Urgent,3.9,3.6,Resolved,Yes,Apr-2026
CC-1160,2026-04-30 17:58:30,Central,Streetlight,Website,Staff Behaviour,Medium,6.6,4.9,Resolved,Yes,Apr-2026
CC-1161,2026-05-01 12:03:01,Central,Public Health,Walk-in,Incorrect Information,Medium,8.1,3.1,Escalated,No,May-2026
CC-1162,2026-05-02 6:07:32,Central,Birth Certificate,Mobile App,Incorrect Information,Low,4.9,4.4,Resolved,Yes,May-2026
CC-1163,2026-05-03 0:12:03,Central,Road Repair,Mobile App,Delay,High,12.2,3.4,Open,No,May-2026
CC-1164,2026-05-03 18:16:34,Central,Streetlight,Service Center,Billing,Low,8.4,3.4,Escalated,No,May-2026
CC-1165,2026-05-04 12:21:05,East,Income Certificate,Helpline,Infrastructure,High,2.6,4.9,Resolved,Yes,May-2026
CC-1166,2026-05-05 6:25:36,West,Birth Certificate,Service Center,Poor Service,Low,4.1,5,Resolved,Yes,May-2026
CC-1167,2026-05-06 0:30:08,Central,Road Repair,Helpline,Delay,Low,9.2,3.7,Escalated,No,May-2026
CC-1168,2026-05-06 18:34:39,West,Public Health,Helpline,Delay,Low,5.2,4.4,Resolved,Yes,May-2026
CC-1169,2026-05-07 12:39:10,East,Public Health,Mobile App,Staff Behaviour,Medium,5.5,3,Resolved,Yes,May-2026
CC-1170,2026-05-08 6:43:41,East,Property Tax,Helpline,Poor Service,Medium,4.1,3.8,Resolved,Yes,May-2026
CC-1171,2026-05-09 0:48:12,West,Road Repair,Service Center,Staff Behaviour,Low,10.9,3.7,Escalated,No,May-2026
CC-1172,2026-05-09 18:52:43,North,Waste Collection,Service Center,Infrastructure,High,4.9,4.6,Resolved,Yes,May-2026
CC-1173,2026-05-10 12:57:14,South,Water Supply,Walk-in,Delay,Medium,5.5,4.6,Resolved,Yes,May-2026
CC-1174,2026-05-11 7:01:45,North,Streetlight,Mobile App,Delay,Medium,5,4.6,Resolved,Yes,May-2026
CC-1175,2026-05-12 1:06:17,North,Road Repair,Service Center,Billing,Medium,11.8,3.7,Escalated,No,May-2026
CC-1176,2026-05-12 19:10:48,North,Property Tax,Helpline,Infrastructure,Medium,1,4.8,Resolved,Yes,May-2026
CC-1177,2026-05-13 13:15:19,Central,Water Supply,Website,Delay,Medium,6.1,4.1,Resolved,Yes,May-2026
CC-1178,2026-05-14 7:19:50,East,Water Supply,Service Center,Infrastructure,Low,6.2,3.3,Resolved,Yes,May-2026
CC-1179,2026-05-15 1:24:21,North,Birth Certificate,Helpline,Poor Service,Low,4.7,3.4,Resolved,Yes,May-2026
CC-1180,2026-05-15 19:28:52,East,Water Supply,Service Center,Incorrect Information,High,3,3.5,Resolved,Yes,May-2026
CC-1181,2026-05-16 13:33:23,West,Waste Collection,Service Center,Delay,Urgent,7.3,3,Escalated,No,May-2026
CC-1182,2026-05-17 7:37:54,South,Public Health,Helpline,Billing,Medium,7.5,4.7,Escalated,No,May-2026
CC-1183,2026-05-18 1:42:26,West,Property Tax,Helpline,Poor Service,Low,3.6,3.5,Resolved,Yes,May-2026
CC-1184,2026-05-18 19:46:57,West,Water Supply,Website,Infrastructure,Medium,5.1,4,Resolved,Yes,May-2026
CC-1185,2026-05-19 13:51:28,Central,Birth Certificate,Website,Staff Behaviour,Medium,4.2,3.5,Resolved,Yes,May-2026
CC-1186,2026-05-20 7:55:59,South,Waste Collection,Walk-in,Poor Service,Low,4.1,4,Resolved,Yes,May-2026
CC-1187,2026-05-21 2:00:30,West,Income Certificate,Helpline,Delay,Low,6.7,4,Resolved,Yes,May-2026
CC-1188,2026-05-21 20:05:01,West,Public Health,Mobile App,Infrastructure,High,3.8,4,Resolved,Yes,May-2026
CC-1189,2026-05-22 14:09:32,South,Public Health,Website,Incorrect Information,Medium,7.4,4.4,Escalated,No,May-2026
CC-1190,2026-05-23 8:14:04,South,Property Tax,Mobile App,Poor Service,Low,3.9,5,Resolved,Yes,May-2026
CC-1191,2026-05-24 2:18:35,West,Public Health,Mobile App,Delay,Low,6.6,2.4,Resolved,Yes,May-2026
CC-1192,2026-05-24 20:23:06,South,Water Supply,Service Center,Billing,Low,5.1,3.7,Resolved,Yes,May-2026
CC-1193,2026-05-25 14:27:37,West,Birth Certificate,Service Center,Staff Behaviour,Medium,2.2,4.8,Resolved,Yes,May-2026
CC-1194,2026-05-26 8:32:08,West,Public Health,Walk-in,Infrastructure,Low,7.4,4.5,Escalated,No,May-2026
CC-1195,2026-05-27 2:36:39,Central,Public Health,Walk-in,Poor Service,Low,3,4.3,Resolved,Yes,May-2026
CC-1196,2026-05-27 20:41:10,North,Income Certificate,Website,Poor Service,High,6.1,4,Resolved,Yes,May-2026
CC-1197,2026-05-28 14:45:41,West,Income Certificate,Mobile App,Incorrect Information,Low,2.9,3.9,Resolved,Yes,May-2026
CC-1198,2026-05-29 8:50:13,East,Streetlight,Service Center,Incorrect Information,Medium,5.3,3.1,Resolved,Yes,May-2026
CC-1199,2026-05-30 2:54:44,North,Waste Collection,Service Center,Billing,Low,4.8,5,Resolved,Yes,May-2026
CC-1200,2026-05-30 20:59:15,North,Water Supply,Mobile App,Staff Behaviour,Low,4.8,3.1,Resolved,Yes,May-2026
CC-1201,2026-05-31 15:03:46,North,Public Health,Helpline,Billing,Low,6.7,5,Resolved,Yes,May-2026
CC-1202,2026-06-01 9:08:17,Central,Road Repair,Website,Delay,High,5.5,4.6,Resolved,Yes,Jun-2026
CC-1203,2026-06-02 3:12:48,West,Public Health,Website,Delay,High,8.6,3.9,Escalated,No,Jun-2026
CC-1204,2026-06-02 21:17:19,Central,Birth Certificate,Mobile App,Billing,High,5.4,4.5,Resolved,Yes,Jun-2026
CC-1205,2026-06-03 15:21:50,West,Streetlight,Walk-in,Staff Behaviour,Medium,1.3,4.8,Resolved,Yes,Jun-2026
CC-1206,2026-06-04 9:26:22,Central,Waste Collection,Website,Billing,Medium,3.1,4.8,Resolved,Yes,Jun-2026
CC-1207,2026-06-05 3:30:53,Central,Road Repair,Helpline,Staff Behaviour,Low,7.3,3.6,Escalated,No,Jun-2026
CC-1208,2026-06-05 21:35:24,East,Streetlight,Helpline,Staff Behaviour,Medium,4.6,4.6,Resolved,Yes,Jun-2026
CC-1209,2026-06-06 15:39:55,Central,Property Tax,Mobile App,Infrastructure,High,4.4,4.3,Resolved,Yes,Jun-2026
CC-1210,2026-06-07 9:44:26,South,Waste Collection,Service Center,Staff Behaviour,Low,6.2,3.3,Resolved,Yes,Jun-2026
CC-1211,2026-06-08 3:48:57,East,Public Health,Mobile App,Incorrect Information,Low,9.5,2.7,Escalated,No,Jun-2026
CC-1212,2026-06-08 21:53:28,Central,Public Health,Website,Staff Behaviour,Low,9.9,2.6,Escalated,No,Jun-2026
CC-1213,2026-06-09 15:57:59,North,Waste Collection,Service Center,Staff Behaviour,Low,3.5,5,Resolved,Yes,Jun-2026
CC-1214,2026-06-10 10:02:31,South,Public Health,Service Center,Staff Behaviour,Low,4.5,3.9,Resolved,Yes,Jun-2026
CC-1215,2026-06-11 4:07:02,South,Water Supply,Service Center,Delay,Medium,5.7,2.8,Resolved,Yes,Jun-2026
